timestamp, type, prox-id, floor, x, y
2016-05-31 09:00:00, mobile-prox, vlagos001, 1, 174, 15
2016-05-31 09:00:00, mobile-prox, vlagos001, 1, 174, 15
2016-05-31 09:00:00, mobile-prox, vlagos001, 1, 174, 15
2016-05-31 09:01:00, mobile-prox, sfusil001, 1, 165, 15
2016-05-31 09:01:00, mobile-prox, sfusil001, 1, 165, 15
2016-05-31 09:01:00, mobile-prox, sfusil001, 1, 165, 15
2016-05-31 09:01:00, mobile-prox, sfusil001, 1, 165, 15
2016-05-31 09:01:00, mobile-prox, sfusil001, 1, 165, 15
2016-05-31 09:06:00, mobile-prox, dscozzese001, 1, 27, 71
2016-05-31 09:06:00, mobile-prox, dscozzese001, 1, 27, 71
2016-05-31 09:06:00, mobile-prox, dscozzese001, 1, 27, 71
2016-05-31 09:06:00, mobile-prox, dscozzese001, 1, 27, 71
2016-05-31 09:06:00, mobile-prox, dscozzese001, 1, 27, 71
2016-05-31 09:09:00, mobile-prox, fbalas001, 2, 42, 73
2016-05-31 09:09:00, mobile-prox, fbalas001, 2, 42, 73
2016-05-31 09:09:00, mobile-prox, fbalas001, 2, 42, 73
2016-05-31 09:09:00, mobile-prox, fbalas001, 2, 42, 73
2016-05-31 09:09:00, mobile-prox, fbalas001, 2, 42, 73
2016-05-31 09:09:00, mobile-prox, rmieshaber001, 2, 22, 95
2016-05-31 09:09:00, mobile-prox, rmieshaber001, 2, 22, 95
2016-05-31 09:09:00, mobile-prox, rmieshaber001, 2, 22, 95
2016-05-31 09:09:00, mobile-prox, rmieshaber001, 2, 22, 95
2016-05-31 09:09:00, mobile-prox, rmieshaber001, 2, 22, 95
2016-05-31 09:09:00, mobile-prox, ldedos001, 2, 17, 95
2016-05-31 09:09:00, mobile-prox, ldedos001, 2, 17, 95
2016-05-31 09:10:00, mobile-prox, tbattles001, 2, 15, 83
2016-05-31 09:10:00, mobile-prox, tbattles001, 2, 15, 83
2016-05-31 09:10:00, mobile-prox, tbattles001, 2, 15, 83
2016-05-31 09:10:00, mobile-prox, eminto001, 2, 21, 81
2016-05-31 09:10:00, mobile-prox, tbattles001, 2, 15, 83
2016-05-31 09:10:00, mobile-prox, eminto001, 2, 21, 81
2016-05-31 09:10:00, mobile-prox, eminto001, 2, 21, 81
2016-05-31 09:10:00, mobile-prox, tbattles001, 2, 15, 83
2016-05-31 09:10:00, mobile-prox, yfinney001, 2, 15, 78
2016-05-31 09:10:00, mobile-prox, eminto001, 2, 21, 81
2016-05-31 09:10:00, mobile-prox, eminto001, 2, 21, 81
2016-05-31 09:10:00, mobile-prox, yfinney001, 2, 15, 78
2016-05-31 09:10:00, mobile-prox, yfinney001, 2, 15, 78
2016-05-31 09:10:00, mobile-prox, yfinney001, 2, 15, 78
2016-05-31 09:10:00, mobile-prox, yfinney001, 2, 15, 78
2016-05-31 09:10:00, mobile-prox, thagan001, 2, 21, 70
2016-05-31 09:10:00, mobile-prox, thagan001, 2, 21, 70
2016-05-31 09:10:00, mobile-prox, thagan001, 2, 21, 70
2016-05-31 09:10:00, mobile-prox, thagan001, 2, 21, 70
2016-05-31 09:10:00, mobile-prox, thagan001, 2, 21, 70
2016-05-31 09:10:00, mobile-prox, avico001, 2, 15, 59
2016-05-31 09:10:00, mobile-prox, avico001, 2, 15, 59
2016-05-31 09:10:00, mobile-prox, avico001, 2, 15, 59
2016-05-31 09:10:00, mobile-prox, avico001, 2, 15, 59
2016-05-31 09:10:00, mobile-prox, avico001, 2, 15, 59
2016-05-31 09:10:00, mobile-prox, btempestad001, 2, 21, 49
2016-05-31 09:10:00, mobile-prox, wreynoso001, 2, 21, 49
2016-05-31 09:10:00, mobile-prox, acalzas001, 2, 15, 49
2016-05-31 09:10:00, mobile-prox, btempestad001, 2, 21, 49
2016-05-31 09:10:00, mobile-prox, wreynoso001, 2, 21, 49
